Freq,SA Max Hold,N medición
4100400000,-68.4767737756738,\TRACE1107202301.csv
4100800000,-68.9640148191408,\TRACE1107202301.csv
4101200000,-69.0197292078762,\TRACE1107202301.csv
4101600000,-67.6691801548409,\TRACE1107202301.csv
4102000000,-68.5788341336822,\TRACE1107202301.csv
4102400000,-69.0215650057468,\TRACE1107202301.csv
4102800000,-68.8230636852536,\TRACE1107202301.csv
4103200000,-68.0327300652362,\TRACE1107202301.csv
4103600000,-68.5067261694946,\TRACE1107202301.csv
4104000000,-68.3528315011193,\TRACE1107202301.csv
4104400000,-68.2027672103328,\TRACE1107202301.csv
4104800000,-68.0165968702563,\TRACE1107202301.csv
4105200000,-67.3285012148828,\TRACE1107202301.csv
4105600000,-68.8172112073374,\TRACE1107202301.csv
4106000000,-68.8453561549832,\TRACE1107202301.csv
4106400000,-68.8596938864736,\TRACE1107202301.csv
4106800000,-68.302921711382,\TRACE1107202301.csv
4107200000,-69.3845493089092,\TRACE1107202301.csv
4107600000,-68.6046295145512,\TRACE1107202301.csv
4108000000,-67.0257701524561,\TRACE1107202301.csv
4108400000,-67.9947106492086,\TRACE1107202301.csv
4108800000,-68.7010149942648,\TRACE1107202301.csv
4109200000,-67.643862842406,\TRACE1107202301.csv
4109600000,-68.0263944802291,\TRACE1107202301.csv
4110000000,-68.4400682325668,\TRACE1107202301.csv
4110400000,-68.1888999844429,\TRACE1107202301.csv
4110800000,-68.1529452382662,\TRACE1107202301.csv
4111200000,-69.1837278141851,\TRACE1107202301.csv
4111600000,-68.9581106214979,\TRACE1107202301.csv
4112000000,-68.6708476358771,\TRACE1107202301.csv
4112400000,-68.0092978660784,\TRACE1107202301.csv
4112800000,-68.7081437762746,\TRACE1107202301.csv
4113200000,-68.6073893731796,\TRACE1107202301.csv
4113600000,-69.7740331292532,\TRACE1107202301.csv
4114000000,-69.2412442191402,\TRACE1107202301.csv
4114400000,-69.2603990340677,\TRACE1107202301.csv
4114800000,-69.4017959997896,\TRACE1107202301.csv
4115200000,-68.1029399067841,\TRACE1107202301.csv
4115600000,-68.1778067498941,\TRACE1107202301.csv
